target model it0_rmsd it1_rmsd delta_rmsd protocol
hdac2 127 8.04638 8.17756 -0.13118 shape
hdac2 128 7.91132 7.74695 0.16437 shape
hdac2 129 7.80309 7.30232 0.50077 shape
hdac2 130 4.50299 4.71374 -0.21075 shape
hdac2 131 4.98568 5.14143 -0.15575 shape
hdac2 132 7.07354 7.36579 -0.29225 shape
hdac2 133 7.43675 7.3179 0.11885 shape
hdac2 134 5.12389 1.08033 4.04356 shape
hdac2 135 7.74763 7.89827 -0.15064 shape
hdac2 136 3.66978 1.35104 2.31874 shape
hdac2 137 3.11099 1.23292 1.87807 shape
hdac2 138 3.7936 4.19213 -0.39853 shape
hdac2 139 4.49754 1.09536 3.40218 shape
hdac2 140 7.01005 7.30593 -0.29588 shape
hdac2 141 7.77463 7.82397 -0.04934 shape
hdac2 142 7.93334 8.56445 -0.63111 shape
hdac2 143 7.73968 7.43713 0.30255 shape
hdac2 144 6.34556 6.2437 0.10186 shape
hdac2 145 6.61964 5.87146 0.74818 shape
hdac2 146 6.59144 6.23097 0.36047 shape
hdac2 147 7.75992 8.31206 -0.55214 shape
hdac2 148 7.75978 8.6743 -0.91452 shape
hdac2 149 5.28765 4.12247 1.16518 shape
hdac2 150 7.69124 7.51678 0.17446 shape
hdac2 151 3.34093 1.24613 2.0948 shape
hdac2 152 4.56931 3.52486 1.04445 shape
hdac2 153 7.3822 7.33549 0.04671 shape
hdac2 154 6.98986 7.26268 -0.27282 shape
hdac2 155 8.11599 8.11599 0 shape
hdac2 156 4.83218 6.23136 -1.39918 shape
hdac2 157 4.02847 1.52663 2.50184 shape
hdac2 158 7.47786 7.34033 0.13753 shape
hdac2 159 7.082 8.17251 -1.09051 shape
hdac2 160 6.78602 6.1498 0.63622 shape
hdac2 161 7.60778 7.30381 0.30397 shape
hdac2 162 7.22603 7.37257 -0.14654 shape
hdac2 163 7.17372 7.75748 -0.58376 shape
hdac2 164 5.63876 6.23563 -0.59687 shape
hdac2 165 7.50219 7.31559 0.1866 shape
hdac2 166 7.17436 7.34186 -0.1675 shape
hdac2 167 7.81745 8.04126 -0.22381 shape
hdac2 168 7.03804 7.39028 -0.35224 shape
hdac2 169 5.41935 4.56234 0.85701 shape
hdac2 170 5.13856 4.65263 0.48593 shape
hdac2 171 4.6832 5.90566 -1.22246 shape
hdac2 172 7.41475 7.8446 -0.42985 shape
hdac2 173 7.64644 8.55841 -0.91197 shape
hdac2 174 4.10675 1.23894 2.86781 shape
hdac2 175 4.43819 Inf 4.43819 shape
hdac2 176 3.75457 1.20813 2.54644 shape
hdac2 177 8.14074 7.2907 0.85004 shape
hdac2 178 6.52419 7.37584 -0.85165 shape
hdac2 179 7.38441 7.33676 0.04765 shape
hdac2 180 6.34963 4.35875 1.99088 shape
hdac2 181 7.0176 7.32583 -0.30823 shape
hdac2 182 6.55475 2.16864 4.38611 shape
hdac2 183 6.84125 7.29077 -0.44952 shape
hdac2 184 7.18081 7.31396 -0.13315 shape
hdac2 185 5.41261 8.2086 -2.79599 shape
hdac2 186 7.54833 7.30302 0.24531 shape
hdac2 187 6.61234 4.54139 2.07095 shape
hdac2 188 7.70031 7.30945 0.39086 shape
hdac2 189 6.12157 7.31614 -1.19457 shape
hdac2 190 5.43397 5.08483 0.34914 shape
hdac2 191 6.50261 6.20697 0.29564 shape
hdac2 192 8.50647 7.58298 0.92349 shape
hdac2 193 5.4709 4.90933 0.56157 shape
hdac2 194 6.06003 4.14842 1.91161 shape
hdac2 195 7.22638 7.80097 -0.57459 shape
hdac2 196 6.36377 6.68017 -0.3164 shape
hdac2 197 6.23102 7.38562 -1.1546 shape
hdac2 198 6.23101 6.81598 -0.58497 shape
hdac2 199 8.83713 7.91552 0.92161 shape
hdac2 200 7.4842 7.30613 0.17807 shape
hdac8 1 3.46488 4.35685 -0.89197 shape
hdac8 2 3.464 3.53249 -0.06849 shape
hdac8 3 3.4651 3.60384 -0.13874 shape
hdac8 4 3.46409 3.92942 -0.46533 shape
hdac8 5 3.46642 4.74951 -1.28309 shape
hdac8 6 4.03682 3.41165 0.62517 shape
hdac8 7 3.21539 3.19269 0.0227 shape
hdac8 8 3.21461 3.65129 -0.43668 shape
hdac8 9 3.21464 3.23486 -0.02022 shape
hdac8 10 3.15047 1.89055 1.25992 shape
hdac8 11 9.2138 8.39881 0.81499 shape
hdac8 12 3.77538 4.00196 -0.22658 shape
hdac8 13 3.65374 3.2871 0.36664 shape
hdac8 14 7.19988 6.97999 0.21989 shape
hdac8 15 7.63551 8.2239 -0.58839 shape
hdac8 16 7.63667 8.40666 -0.76999 shape
hdac8 17 8.38391 8.01087 0.37304 shape
hdac8 18 4.77412 4.61584 0.15828 shape
hdac8 19 4.65432 4.36902 0.2853 shape
hdac8 20 4.65529 5.03596 -0.38067 shape
hdac8 21 4.65553 4.28614 0.36939 shape
hdac8 22 3.66849 3.2483 0.42019 shape
hdac8 23 3.66739 4.25114 -0.58375 shape
hdac8 24 3.66908 4.96722 -1.29814 shape
hdac8 25 3.66941 4.26974 -0.60033 shape
hdac8 26 3.66959 4.07285 -0.40326 shape
hdac8 27 3.66549 3.07333 0.59216 shape
hdac8 28 3.6643 3.84049 -0.17619 shape
hdac8 29 3.93045 3.91752 0.01293 shape
hdac8 30 3.86102 3.73479 0.12623 shape
hdac8 31 8.04328 8.23838 -0.1951 shape
hdac8 32 4.64983 4.35355 0.29628 shape
hdac8 33 4.77185 4.88784 -0.11599 shape
hdac8 34 4.27646 3.57925 0.69721 shape
hdac8 35 5.31555 5.03858 0.27697 shape
hdac8 36 4.20523 4.14257 0.06266 shape
hdac8 37 8.13955 7.98453 0.15502 shape
hdac8 38 3.87695 4.02455 -0.1476 shape
hdac8 39 3.43701 3.26291 0.1741 shape
hdac8 40 3.43974 3.00366 0.43608 shape
hdac8 41 8.13907 8.0516 0.08747 shape
hdac8 42 3.43874 4.23756 -0.79882 shape
hdac8 43 4.54473 4.43718 0.10755 shape
hdac8 44 3.4451 3.38737 0.05773 shape
hdac8 45 8.13976 8.0895 0.05026 shape
hdac8 46 8.13961 8.11815 0.02146 shape
hdac8 47 4.5511 5.12755 -0.57645 shape
hdac8 48 4.5508 4.58134 -0.03054 shape
hdac8 49 4.55056 4.98707 -0.43651 shape
hdac8 50 3.80899 3.87592 -0.06693 shape
hdac8 51 3.81017 3.9622 -0.15203 shape
hdac8 52 3.80926 3.55463 0.25463 shape
hdac8 53 3.81018 4.4401 -0.62992 shape
hdac8 54 3.80962 3.92519 -0.11557 shape
hdac8 55 3.62446 3.23869 0.38577 shape
hdac8 56 3.62229 2.84723 0.77506 shape
hdac8 57 3.68081 3.83775 -0.15694 shape
hdac8 58 3.67972 3.72621 -0.04649 shape
hdac8 59 8.13963 7.80376 0.33587 shape
hdac8 60 8.13991 8.21416 -0.07425 shape
hdac8 61 3.67951 4.34787 -0.66836 shape
hdac8 62 3.67914 5.18533 -1.50619 shape
hdac8 63 3.33043 3.60111 -0.27068 shape
hdac8 64 3.67831 3.96391 -0.2856 shape
hdac8 65 3.67874 4.07152 -0.39278 shape
hdac8 66 8.13958 8.32271 -0.18313 shape
hdac8 67 3.42064 3.13918 0.28146 shape
hdac8 68 7.86934 8.26162 -0.39228 shape
hdac8 69 7.86784 8.28603 -0.41819 shape
hdac8 70 8.43393 8.13561 0.29832 shape
hdac8 71 8.43386 8.1536 0.28026 shape
hdac8 72 8.43384 8.65401 -0.22017 shape
hdac8 73 8.43328 8.18806 0.24522 shape
hdac8 74 8.43419 8.2486 0.18559 shape
hdac8 75 8.43349 8.24314 0.19035 shape
hdac8 76 8.4332 8.23215 0.20105 shape
hdac8 77 8.43357 8.20797 0.2256 shape
hdac8 78 8.43327 8.29989 0.13338 shape
hdac8 79 8.43299 8.24142 0.19157 shape
hdac8 80 8.4333 8.15403 0.27927 shape
hdac8 81 8.43368 8.16706 0.26662 shape
hdac8 82 4.20417 3.34939 0.85478 shape
hdac8 83 8.43409 8.21283 0.22126 shape
hdac8 84 5.17424 3.4979 1.67634 shape
hdac8 85 4.34549 3.68989 0.6556 shape
hdac8 86 4.72471 4.91705 -0.19234 shape
hdac8 87 3.80177 3.84878 -0.04701 shape
hdac8 88 3.80239 3.53969 0.2627 shape
hdac8 89 4.55187 4.26698 0.28489 shape
hdac8 90 7.88724 8.53778 -0.65054 shape
hdac8 91 4.81772 5.35795 -0.54023 shape
hdac8 92 7.88685 8.48596 -0.59911 shape
hdac8 93 3.69701 3.56482 0.13219 shape
hdac8 94 3.69482 4.99323 -1.29841 shape
hdac8 95 3.65504 3.99238 -0.33734 shape
hdac8 96 8.39933 8.31813 0.0812 shape
hdac8 97 8.19193 8.70091 -0.50898 shape
hdac8 98 8.19008 8.31323 -0.12315 shape
hdac8 99 8.40103 8.39512 0.00591 shape
hdac8 100 3.65194 3.97284 -0.3209 shape
hdac8 101 3.64832 3.03372 0.6146 shape
hdac8 102 8.38664 8.19458 0.19206 shape
hdac8 103 3.65148 3.05664 0.59484 shape
hdac8 104 3.64979 3.91694 -0.26715 shape
hdac8 105 8.40468 8.34578 0.0589 shape
hdac8 106 3.64998 3.48121 0.16877 shape
hdac8 107 8.4032 8.20342 0.19978 shape
hdac8 108 3.64939 3.70363 -0.05424 shape
hdac8 109 3.65086 3.29249 0.35837 shape
hdac8 110 3.5315 4.12726 -0.59576 shape
hdac8 111 8.54088 8.57689 -0.03601 shape
hdac8 112 8.63653 8.5876 0.04893 shape
hdac8 113 8.54033 8.26303 0.2773 shape
hdac8 114 8.31312 8.16836 0.14476 shape
hdac8 115 8.31354 8.11565 0.19789 shape
hdac8 116 8.31362 8.10582 0.2078 shape
hdac8 117 8.31358 8.04196 0.27162 shape
hdac8 118 8.31414 8.06124 0.2529 shape
hdac8 119 8.54054 8.61003 -0.06949 shape
hdac8 120 8.07955 7.95603 0.12352 shape
hdac8 121 8.5403 8.37785 0.16245 shape
hdac8 122 8.54036 8.45086 0.0895 shape
hdac8 123 8.54004 8.65247 -0.11243 shape
hdac8 124 8.54054 8.4302 0.11034 shape
hdac8 125 3.07296 3.39845 -0.32549 shape
hdac8 126 8.44327 8.31768 0.12559 shape
hdac8 127 8.4433 8.31607 0.12723 shape
hdac8 128 3.67756 4.7283 -1.05074 shape
hdac8 129 8.06869 8.84658 -0.77789 shape
hdac8 130 8.15085 7.98225 0.1686 shape
hdac8 131 8.44385 8.01808 0.42577 shape
hdac8 132 8.44323 8.2389 0.20433 shape
hdac8 133 8.13876 8.08023 0.05853 shape
hdac8 134 3.07409 3.02518 0.04891 shape
hdac8 135 3.07579 2.74166 0.33413 shape
hdac8 136 3.07469 2.90797 0.16672 shape
hdac8 137 8.02706 7.94846 0.0786 shape
hdac8 138 8.15009 7.90228 0.24781 shape
hdac8 139 3.07635 2.15722 0.91913 shape
hdac8 140 3.06705 2.86182 0.20523 shape
hdac8 141 8.15009 7.84145 0.30864 shape
hdac8 142 3.07124 3.88917 -0.81793 shape
hdac8 143 4.37506 4.17779 0.19727 shape
hdac8 144 7.63227 8.07284 -0.44057 shape
hdac8 145 8.15059 8.02867 0.12192 shape
hdac8 146 3.58929 3.94317 -0.35388 shape
hdac8 147 8.15078 8.18016 -0.02938 shape
hdac8 148 8.12938 8.14542 -0.01604 shape
hdac8 149 8.12909 7.93444 0.19465 shape
hdac8 150 3.43815 3.21045 0.2277 shape
hdac8 151 3.586 3.31994 0.26606 shape
hdac8 152 3.58694 3.74372 -0.15678 shape
hdac8 153 8.15163 7.72518 0.42645 shape
hdac8 154 8.1351 7.97923 0.15587 shape
hdac8 155 8.13581 7.84533 0.29048 shape
hdac8 156 8.1397 8.23204 -0.09234 shape
hdac8 157 8.13608 7.9299 0.20618 shape
hdac8 158 8.1381 8.46019 -0.32209 shape
hdac8 159 8.13773 8.544 -0.40627 shape
hdac8 160 8.15077 8.12388 0.02689 shape
hdac8 161 8.13547 7.9383 0.19717 shape
hdac8 162 8.30725 8.17752 0.12973 shape
hdac8 163 8.30767 8.26969 0.03798 shape
hdac8 164 5.0806 4.35968 0.72092 shape
hdac8 165 4.83249 4.02372 0.80877 shape
hdac8 166 4.83245 4.54118 0.29127 shape
hdac8 167 4.65466 5.01031 -0.35565 shape
hdac8 168 4.83271 4.87141 -0.0387 shape
hdac8 169 8.13525 7.75691 0.37834 shape
hdac8 170 4.8328 4.02121 0.81159 shape
hdac8 171 8.57602 8.36419 0.21183 shape
hdac8 172 3.72388 4.64443 -0.92055 shape
hdac8 173 8.27198 8.273 -0.00102 shape
hdac8 174 7.74192 8.294 -0.55208 shape
hdac8 175 3.57371 4.07942 -0.50571 shape
hdac8 176 3.32467 4.3575 -1.03283 shape
hdac8 177 3.95916 4.31604 -0.35688 shape
hdac8 178 7.74052 8.31626 -0.57574 shape
hdac8 179 3.95294 4.33002 -0.37708 shape
hdac8 180 8.72356 8.16502 0.55854 shape
hdac8 181 8.0286 8.41626 -0.38766 shape
hdac8 182 7.32499 8.1939 -0.86891 shape
hdac8 183 8.02941 8.2799 -0.25049 shape
hdac8 184 4.71098 3.90956 0.80142 shape
hdac8 185 8.72494 8.33035 0.39459 shape
hdac8 186 3.95386 3.92469 0.02917 shape
hdac8 187 3.95468 4.03215 -0.07747 shape
hdac8 188 3.95332 4.51691 -0.56359 shape
hdac8 189 3.95403 4.12985 -0.17582 shape
hdac8 190 3.956 4.18744 -0.23144 shape
hdac8 191 3.95331 4.90638 -0.95307 shape
hdac8 192 4.38824 3.92772 0.46052 shape
hdac8 193 6.67168 7.80302 -1.13134 shape
hdac8 194 8.72227 8.44656 0.27571 shape
hdac8 195 8.72262 8.14425 0.57837 shape
hdac8 196 8.72275 8.2392 0.48355 shape
hdac8 197 6.66801 7.6661 -0.99809 shape
hdac8 198 3.59072 3.44554 0.14518 shape
hdac8 199 3.7039 4.82288 -1.11898 shape
hdac8 200 3.70369 3.74474 -0.04105 shape
hivint 1 2.36926 3.18386 -0.8146 shape
hivint 2 2.37005 3.90648 -1.53643 shape
hivint 3 2.36988 3.61092 -1.24104 shape
hivint 4 2.36987 4.14393 -1.77406 shape
hivint 5 2.37029 3.13094 -0.76065 shape
hivint 6 2.36846 3.94642 -1.57796 shape
hivint 7 3.50484 4.16531 -0.66047 shape
hivint 8 3.50396 4.12017 -0.61621 shape
hivint 9 3.50567 4.4474 -0.94173 shape
hivint 10 2.67134 3.02583 -0.35449 shape
hivint 11 3.50572 3.87133 -0.36561 shape
hivint 12 3.5057 4.61801 -1.11231 shape
hivint 13 2.6629 2.91639 -0.25349 shape
hivint 14 2.66218 3.06941 -0.40723 shape
hivint 15 2.69464 2.84855 -0.15391 shape
hivint 16 2.66024 3.85492 -1.19468 shape
hivint 17 2.64719 3.28288 -0.63569 shape
hivint 18 2.66659 2.93502 -0.26843 shape
hivint 19 5.00605 5.954 -0.94795 shape
hivint 20 5.00617 6.37241 -1.36624 shape
hivint 21 5.00602 5.30724 -0.30122 shape
hivint 22 6.14089 6.57967 -0.43878 shape
hivint 23 6.14081 6.3529 -0.21209 shape
hivint 24 2.67138 3.2195 -0.54812 shape
hivint 25 2.70137 3.20776 -0.50639 shape
hivint 26 3.24276 3.45207 -0.20931 shape
hivint 27 2.72028 2.87645 -0.15617 shape
hivint 28 4.75343 4.42543 0.328 shape
hivint 29 4.75379 4.8528 -0.09901 shape
hivint 30 4.75369 5.19265 -0.43896 shape
hivint 31 4.75371 4.51927 0.23444 shape
hivint 32 4.75364 4.25465 0.49899 shape
hivint 33 4.75367 4.68243 0.07124 shape
hivint 34 4.75353 4.69991 0.05362 shape
hivint 35 2.35729 2.92891 -0.57162 shape
hivint 36 2.35717 3.81605 -1.45888 shape
hivint 37 2.35683 3.2112 -0.85437 shape
hivint 38 2.35715 2.42155 -0.0644 shape
hivint 39 2.63417 2.86272 -0.22855 shape
hivint 40 2.63478 2.87116 -0.23638 shape
hivint 41 2.68567 2.74617 -0.0605 shape
hivint 42 2.65232 3.08959 -0.43727 shape
hivint 43 2.65169 3.23022 -0.57853 shape
hivint 44 2.65208 3.89229 -1.24021 shape
hivint 45 2.65219 2.80116 -0.14897 shape
hivint 46 2.65219 3.04654 -0.39435 shape
hivint 47 2.68643 2.78881 -0.10238 shape
hivint 48 2.68648 3.29629 -0.60981 shape
hivint 49 2.77235 3.01181 -0.23946 shape
hivint 50 2.68612 2.90174 -0.21562 shape
hivint 51 2.68646 3.12071 -0.43425 shape
hivint 52 2.61597 2.86193 -0.24596 shape
hivint 53 2.61654 2.88981 -0.27327 shape
hivint 54 5.01778 4.76301 0.25477 shape
hivint 55 5.01763 5.2089 -0.19127 shape
hivint 56 5.01794 5.55618 -0.53824 shape
hivint 57 5.01753 5.47097 -0.45344 shape
hivint 58 2.61678 2.8373 -0.22052 shape
hivint 59 2.61692 2.98149 -0.36457 shape
hivint 60 2.61625 2.71481 -0.09856 shape
hivint 61 2.61668 2.95768 -0.341 shape
hivint 62 2.80902 3.17985 -0.37083 shape
hivint 63 2.54139 3.82481 -1.28342 shape
hivint 64 2.61742 2.79618 -0.17876 shape
hivint 65 2.79234 4.0919 -1.29956 shape
hivint 66 2.79281 2.79101 0.0018 shape
hivint 67 2.79277 3.17904 -0.38627 shape
hivint 68 2.79278 3.57283 -0.78005 shape
hivint 69 2.79306 3.09225 -0.29919 shape
hivint 70 2.79309 2.96936 -0.17627 shape
hivint 71 2.79294 3.23306 -0.44012 shape
hivint 72 2.79353 3.75395 -0.96042 shape
hivint 73 1.8187 1.40002 0.41868 shape
hivint 74 2.96347 3.10745 -0.14398 shape
hivint 75 5.91098 6.04453 -0.13355 shape
hivint 76 1.78575 1.92111 -0.13536 shape
hivint 77 1.8201 0.690966 1.12913 shape
hivint 78 2.96292 2.80845 0.15447 shape
hivint 79 2.73291 3.97683 -1.24392 shape
hivint 80 2.73305 4.52791 -1.79486 shape
hivint 81 6.26944 6.50599 -0.23655 shape
hivint 82 6.26978 6.23066 0.03912 shape
hivint 83 2.71032 2.84726 -0.13694 shape
hivint 84 2.71013 2.76987 -0.05974 shape
hivint 85 2.72261 2.54933 0.17328 shape
hivint 86 2.72398 3.54652 -0.82254 shape
hivint 87 2.72437 2.8368 -0.11243 shape
hivint 88 2.72594 2.76615 -0.04021 shape
hivint 89 2.62541 3.18644 -0.56103 shape
hivint 90 2.62439 3.2739 -0.64951 shape
hivint 91 2.56788 3.2109 -0.64302 shape
hivint 92 6.21839 6.05245 0.16594 shape
hivint 93 2.94766 2.76997 0.17769 shape
hivint 94 2.62447 3.33753 -0.71306 shape
hivint 95 2.62485 2.97668 -0.35183 shape
hivint 96 2.96924 3.03069 -0.06145 shape
hivint 97 2.96886 3.52483 -0.55597 shape
hivint 98 2.96912 2.84218 0.12694 shape
hivint 99 2.96896 3.11714 -0.14818 shape
hivint 100 2.9692 2.88117 0.08803 shape
hivint 101 2.96907 2.89385 0.07522 shape
hivint 102 6.21964 6.25161 -0.03197 shape
hivint 103 6.21943 6.23076 -0.01133 shape
hivint 104 6.22051 6.26142 -0.04091 shape
hivint 105 3.5879 4.1148 -0.5269 shape
hivint 106 2.72428 2.81342 -0.08914 shape
hivint 107 2.72427 2.98421 -0.25994 shape
hivint 108 6.3008 6.1972 0.1036 shape
hivint 109 6.30029 5.97648 0.32381 shape
hivint 110 6.30483 6.24228 0.06255 shape
hivint 111 6.30108 6.11439 0.18669 shape
hivint 112 6.30206 6.20574 0.09632 shape
hivint 113 6.30135 6.19921 0.10214 shape
hivint 114 6.30086 6.14343 0.15743 shape
hivint 115 6.30184 6.39186 -0.09002 shape
hivint 116 6.30105 6.19657 0.10448 shape
hivint 117 6.30176 6.29913 0.00263 shape
hivint 118 6.30173 6.12568 0.17605 shape
hivint 119 6.30199 6.11533 0.18666 shape
hivint 120 2.57555 2.88232 -0.30677 shape
hivint 121 6.67675 6.73901 -0.06226 shape
hivint 122 6.23711 6.84133 -0.60422 shape
hivint 123 6.23799 6.15918 0.07881 shape
hivint 124 6.23787 6.19838 0.03949 shape
hivint 125 6.23755 6.37178 -0.13423 shape
hivint 126 6.23789 6.33125 -0.09336 shape
hivint 127 6.238 6.17177 0.06623 shape
hivint 128 6.23801 6.04054 0.19747 shape
hivint 129 6.23815 6.71528 -0.47713 shape
hivint 130 6.69411 6.13744 0.55667 shape
hivint 131 6.69408 6.49796 0.19612 shape
hivint 132 4.18424 3.81657 0.36767 shape
hivint 133 6.28332 6.45558 -0.17226 shape
hivint 134 4.18388 4.49016 -0.30628 shape
hivint 135 4.12917 3.82468 0.30449 shape
hivint 136 4.12924 4.39197 -0.26273 shape
hivint 137 2.43416 3.76729 -1.33313 shape
hivint 138 2.76324 2.80752 -0.04428 shape
hivint 139 2.76075 2.94451 -0.18376 shape
hivint 140 2.7614 3.36052 -0.59912 shape
hivint 141 3.93665 4.19915 -0.2625 shape
hivint 142 4.03471 3.03974 0.99497 shape
hivint 143 4.03469 2.55989 1.4748 shape
hivint 144 4.03464 4.20723 -0.17259 shape
hivint 145 4.18346 4.14449 0.03897 shape
hivint 146 3.9978 3.82348 0.17432 shape
hivint 147 2.40058 3.09104 -0.69046 shape
hivint 148 4.76912 5.1009 -0.33178 shape
hivint 149 3.96829 4.31635 -0.34806 shape
hivint 150 3.98091 4.05809 -0.07718 shape
hivint 151 2.75918 3.48062 -0.72144 shape
hivint 152 3.98107 5.09727 -1.1162 shape
hivint 153 3.98135 4.14849 -0.16714 shape
hivint 154 3.99749 4.20352 -0.20603 shape
hivint 155 4.11706 4.34378 -0.22672 shape
hivint 156 6.40609 6.30355 0.10254 shape
hivint 157 6.40609 6.66251 -0.25642 shape
hivint 158 6.40606 6.6234 -0.21734 shape
hivint 159 6.40625 6.52551 -0.11926 shape
hivint 160 6.45576 6.65191 -0.19615 shape
hivint 161 6.45596 6.25356 0.2024 shape
hivint 162 6.45603 6.65507 -0.19904 shape
hivint 163 6.45723 6.54512 -0.08789 shape
hivint 164 6.39581 6.63806 -0.24225 shape
hivint 165 6.39635 6.7461 -0.34975 shape
hivint 166 6.6248 6.81426 -0.18946 shape
hivint 167 2.99322 2.92044 0.07278 shape
hivint 168 6.14151 6.65732 -0.51581 shape
hivint 169 6.14188 6.01337 0.12851 shape
hivint 170 6.14184 6.69017 -0.54833 shape
hivint 171 6.14192 6.16333 -0.02141 shape
hivint 172 4.15903 4.82754 -0.66851 shape
hivint 173 4.15845 3.87555 0.2829 shape
hivint 174 4.15799 4.43866 -0.28067 shape
hivint 175 1.80231 3.33545 -1.53314 shape
hivint 176 1.8014 1.52208 0.27932 shape
hivint 177 1.79812 0.664725 1.13339 shape
hivint 178 5.39362 6.00895 -0.61533 shape
hivint 179 4.12512 2.76494 1.36018 shape
hivint 180 4.12481 2.87118 1.25363 shape
hivint 181 5.03057 5.83668 -0.80611 shape
hivint 182 5.02985 4.40706 0.62279 shape
hivint 183 5.02941 5.35997 -0.33056 shape
hivint 184 5.02969 4.96912 0.06057 shape
hivint 185 6.78353 6.702 0.08153 shape
hivint 186 6.78372 6.93015 -0.14643 shape
hivint 187 6.78349 6.95533 -0.17184 shape
hivint 188 6.78376 6.70784 0.07592 shape
hivint 189 1.655 1.4353 0.2197 shape
hivint 190 2.60775 2.72419 -0.11644 shape
hivint 191 6.53612 6.77608 -0.23996 shape
hivint 192 1.65355 2.76181 -1.10826 shape
hivint 193 1.65369 1.61527 0.03842 shape
hivint 194 1.65256 0.951183 0.701377 shape
hivint 195 1.79437 2.76579 -0.97142 shape
hivint 196 1.6547 1.87831 -0.22361 shape
hivint 197 1.79411 1.62233 0.17178 shape
hivint 198 1.79416 1.48261 0.31155 shape
hivint 199 4.43767 4.01024 0.42743 shape
hivint 200 0.966571 1.35862 -0.392049 shape
hivpr 1 6.58198 5.47679 1.10519 shape
hivpr 2 7.31181 7.02241 0.2894 shape
hivpr 3 7.69619 6.38328 1.31291 shape
hivpr 4 7.08352 6.09383 0.98969 shape
hivpr 5 5.1673 5.30596 -0.13866 shape
hivpr 6 5.02073 5.87443 -0.8537 shape
hivpr 7 6.2965 4.99611 1.30039 shape
hivpr 8 5.07693 4.87801 0.19892 shape
hivpr 9 7.51382 7.1156 0.39822 shape
hivpr 10 6.40135 6.50978 -0.10843 shape
hivpr 11 7.03574 6.26274 0.773 shape
hivpr 12 6.42278 5.45314 0.96964 shape
hivpr 13 8.72301 7.42298 1.30003 shape
hivpr 14 7.38496 6.81081 0.57415 shape
hivpr 15 8.76514 7.47933 1.28581 shape
hivpr 16 6.30516 4.95207 1.35309 shape
hivpr 17 7.8737 4.58903 3.28467 shape
hivpr 18 6.91969 6.63191 0.28778 shape
hivpr 19 7.4981 6.97828 0.51982 shape
hivpr 20 5.94767 5.17045 0.77722 shape
hivpr 21 7.61002 6.59464 1.01538 shape
hivpr 22 5.83768 5.74729 0.09039 shape
hivpr 23 5.83763 5.89761 -0.05998 shape
hivpr 24 6.88226 7.06805 -0.18579 shape
hivpr 25 8.77531 8.15205 0.62326 shape
hivpr 26 7.36856 7.79757 -0.42901 shape
hivpr 27 7.1908 6.75423 0.43657 shape
hivpr 28 5.59161 5.40276 0.18885 shape
hivpr 29 3.32999 3.17095 0.15904 shape
hivpr 30 8.02236 5.65752 2.36484 shape
hivpr 31 5.56394 3.50722 2.05672 shape
hivpr 32 5.33774 4.30638 1.03136 shape
hivpr 33 7.04521 5.03086 2.01435 shape
hivpr 34 6.76206 6.49324 0.26882 shape
hivpr 35 6.76318 7.43315 -0.66997 shape
hivpr 36 5.05222 4.71401 0.33821 shape
hivpr 37 5.05233 5.23512 -0.18279 shape
hivpr 38 7.4805 6.89363 0.58687 shape
hivpr 39 6.07471 5.75237 0.32234 shape
hivpr 40 4.88228 4.24931 0.63297 shape
hivpr 41 9.37366 7.52643 1.84723 shape
hivpr 42 11.5818 10.6888 0.893 shape
hivpr 43 7.77465 7.10985 0.6648 shape
hivpr 44 8.37199 7.65249 0.7195 shape
hivpr 45 6.88637 6.0754 0.81097 shape
hivpr 46 7.20467 6.60722 0.59745 shape
hivpr 47 7.28203 7.61961 -0.33758 shape
hivpr 48 4.79998 4.73344 0.06654 shape
hivpr 49 8.17463 7.82757 0.34706 shape
hivpr 50 7.1568 7.00988 0.14692 shape
hivpr 51 6.4666 7.09128 -0.62468 shape
hivpr 52 7.43244 6.43352 0.99892 shape
hivpr 53 8.2056 7.77676 0.42884 shape
hivpr 54 3.68758 3.95164 -0.26406 shape
hivpr 55 6.38383 6.44764 -0.06381 shape
hivpr 56 8.5862 9.15598 -0.56978 shape
hivpr 57 7.25705 5.75397 1.50308 shape
hivpr 58 5.97881 6.97333 -0.99452 shape
hivpr 59 6.90357 6.19796 0.70561 shape
hivpr 60 5.69896 5.21199 0.48697 shape
hivpr 61 7.79746 7.88415 -0.08669 shape
hivpr 62 7.97885 7.24522 0.73363 shape
hivpr 63 8.48685 8.41471 0.07214 shape
hivpr 64 3.65897 4.6721 -1.01313 shape
hivpr 65 5.17245 4.20202 0.97043 shape
hivpr 66 5.13634 4.16775 0.96859 shape
hivpr 67 6.5021 6.13404 0.36806 shape
hivpr 68 6.79148 6.17603 0.61545 shape
hivpr 69 4.00204 3.64758 0.35446 shape
hivpr 70 8.41806 7.58336 0.8347 shape
hivpr 71 9.04112 8.86031 0.18081 shape
hivpr 72 6.9447 5.55298 1.39172 shape
hivpr 73 5.43087 5.28182 0.14905 shape
hivpr 74 9.74815 9.05521 0.69294 shape
hivpr 75 7.29705 5.92931 1.36774 shape
hivpr 76 4.14095 4.58009 -0.43914 shape
hivpr 77 4.14098 3.91668 0.2243 shape
hivpr 78 2.64959 4.09367 -1.44408 shape
hivpr 79 6.27897 6.73555 -0.45658 shape
hivpr 80 5.94409 5.18313 0.76096 shape
hivpr 81 6.78161 6.47147 0.31014 shape
hivpr 82 5.89641 6.0741 -0.17769 shape
