target model it0_rmsd it1_rmsd delta_rmsd protocol
aa2ar 120 2.44251 2.87232 -0.42981 shape
aa2ar 121 2.4398 2.91134 -0.47154 shape
aa2ar 122 2.44211 2.05867 0.38344 shape
aa2ar 123 2.44196 2.49475 -0.05279 shape
aa2ar 124 2.44245 2.55745 -0.115 shape
aa2ar 125 4.17618 4.62279 -0.44661 shape
aa2ar 126 9.10106 9.86608 -0.76502 shape
aa2ar 127 9.10097 9.62017 -0.5192 shape
aa2ar 128 9.451 9.32767 0.12333 shape
aa2ar 129 9.4511 9.37004 0.08106 shape
aa2ar 130 9.45118 9.2949 0.15628 shape
aa2ar 131 9.45105 9.29894 0.15211 shape
aa2ar 132 9.45106 9.26548 0.18558 shape
aa2ar 133 9.45088 9.30687 0.14401 shape
aa2ar 134 9.45103 9.39088 0.06015 shape
aa2ar 135 9.45102 9.43887 0.01215 shape
aa2ar 136 9.27612 9.29035 -0.01423 shape
aa2ar 137 9.27615 9.32746 -0.05131 shape
aa2ar 138 2.36929 2.18219 0.1871 shape
aa2ar 139 2.36935 2.40774 -0.03839 shape
aa2ar 140 2.36944 2.63326 -0.26382 shape
aa2ar 141 9.32582 9.49715 -0.17133 shape
aa2ar 142 9.15958 9.74909 -0.58951 shape
aa2ar 143 2.36977 2.9048 -0.53503 shape
aa2ar 144 9.28317 9.3351 -0.05193 shape
aa2ar 145 2.66624 2.60564 0.0606 shape
aa2ar 146 2.65022 2.90064 -0.25042 shape
aa2ar 147 2.36995 2.28065 0.0893 shape
aa2ar 148 2.37186 2.2517 0.12016 shape
aa2ar 149 2.09757 2.55025 -0.45268 shape
aa2ar 150 2.37184 2.04912 0.32272 shape
aa2ar 151 9.18056 9.58921 -0.40865 shape
aa2ar 152 9.49499 9.54534 -0.05035 shape
aa2ar 153 2.6498 2.90912 -0.25932 shape
aa2ar 154 2.64986 3.47231 -0.82245 shape
aa2ar 155 2.84802 3.65174 -0.80372 shape
aa2ar 156 4.13727 4.26444 -0.12717 shape
aa2ar 157 2.51395 2.61569 -0.10174 shape
aa2ar 158 9.26424 9.32433 -0.06009 shape
aa2ar 159 4.0177 3.85649 0.16121 shape
aa2ar 160 4.0178 4.16042 -0.14262 shape
aa2ar 161 2.45852 2.54604 -0.08752 shape
aa2ar 162 2.45887 2.9578 -0.49893 shape
aa2ar 163 2.96474 1.57818 1.38656 shape
aa2ar 164 9.41633 9.63349 -0.21716 shape
aa2ar 165 2.61049 2.87647 -0.26598 shape
aa2ar 166 2.01482 1.64552 0.3693 shape
aa2ar 167 2.01328 1.60144 0.41184 shape
aa2ar 168 1.94172 1.50315 0.43857 shape
aa2ar 169 8.97705 9.42615 -0.4491 shape
aa2ar 170 9.62929 9.3089 0.32039 shape
aa2ar 171 9.41336 9.64508 -0.23172 shape
aa2ar 172 9.41338 9.54353 -0.13015 shape
aa2ar 173 9.41341 9.59055 -0.17714 shape
aa2ar 174 9.41344 9.4543 -0.04086 shape
aa2ar 175 2.39031 2.34571 0.0446 shape
aa2ar 176 8.88046 9.25107 -0.37061 shape
aa2ar 177 8.88042 9.34972 -0.4693 shape
aa2ar 178 8.88047 9.34083 -0.46036 shape
aa2ar 179 9.01789 9.39741 -0.37952 shape
aa2ar 180 9.01809 9.49366 -0.47557 shape
aa2ar 181 2.4068 2.51505 -0.10825 shape
aa2ar 182 2.99803 2.76561 0.23242 shape
aa2ar 183 9.00812 9.41018 -0.40206 shape
aa2ar 184 2.72052 2.66618 0.05434 shape
aa2ar 185 9.01804 9.9295 -0.91146 shape
aa2ar 186 2.33992 2.16734 0.17258 shape
aa2ar 187 9.01814 9.42837 -0.41023 shape
aa2ar 188 9.01824 9.12406 -0.10582 shape
aa2ar 189 2.34029 2.32572 0.01457 shape
aa2ar 190 9.51047 9.81295 -0.30248 shape
aa2ar 191 2.90542 2.40883 0.49659 shape
aa2ar 192 9.53232 9.45815 0.07417 shape
aa2ar 193 2.37459 2.18968 0.18491 shape
aa2ar 194 2.90816 2.8466 0.06156 shape
aa2ar 195 2.83382 2.59721 0.23661 shape
aa2ar 196 8.82658 9.52334 -0.69676 shape
aa2ar 197 8.82653 9.34309 -0.51656 shape
aa2ar 198 8.82663 9.4737 -0.64707 shape
aa2ar 199 2.90978 2.93665 -0.02687 shape
aa2ar 200 2.83588 3.22713 -0.39125 shape
abl1 1 0.684332 0.895857 -0.211525 shape
abl1 2 0.657313 1.38381 -0.726497 shape
abl1 3 0.655712 0.906278 -0.250566 shape
abl1 4 0.70338 1.01353 -0.31015 shape
abl1 5 0.72353 0.624952 0.098578 shape
abl1 6 0.664548 1.69299 -1.02844 shape
abl1 7 0.682409 0.851541 -0.169132 shape
abl1 8 0.687621 0.816131 -0.12851 shape
abl1 9 0.721517 1.21242 -0.490903 shape
abl1 10 0.722413 1.0952 -0.372787 shape
abl1 11 0.723269 1.47389 -0.750621 shape
abl1 12 0.723568 1.04795 -0.324382 shape
abl1 13 0.703891 0.840416 -0.136525 shape
abl1 14 0.717344 0.824996 -0.107652 shape
abl1 15 0.68269 1.14053 -0.45784 shape
abl1 16 1.48782 1.46947 0.01835 shape
abl1 17 1.48768 1.36903 0.11865 shape
abl1 18 1.48881 1.75344 -0.26463 shape
abl1 19 1.48843 1.55058 -0.06215 shape
abl1 20 1.48883 1.85748 -0.36865 shape
abl1 21 1.48829 1.72896 -0.24067 shape
abl1 22 1.48849 2.03469 -0.5462 shape
abl1 23 1.68268 1.97291 -0.29023 shape
abl1 24 1.68257 2.0368 -0.35423 shape
abl1 25 1.68256 2.17755 -0.49499 shape
abl1 26 1.68264 2.17915 -0.49651 shape
abl1 27 1.68271 2.48723 -0.80452 shape
abl1 28 1.68272 2.18634 -0.50362 shape
abl1 29 1.68269 2.07112 -0.38843 shape
abl1 30 1.68265 1.88766 -0.20501 shape
abl1 31 1.68244 1.98971 -0.30727 shape
abl1 32 1.68274 1.60831 0.07443 shape
abl1 33 1.55136 1.6607 -0.10934 shape
abl1 34 1.55229 1.96704 -0.41475 shape
abl1 35 1.55301 1.93703 -0.38402 shape
abl1 36 1.54956 1.4547 0.09486 shape
abl1 37 1.55127 1.94777 -0.3965 shape
abl1 38 1.70615 1.91941 -0.21326 shape
abl1 39 1.70651 1.79162 -0.08511 shape
abl1 40 1.70631 1.94304 -0.23673 shape
abl1 41 1.70589 1.93603 -0.23014 shape
abl1 42 1.70572 1.81251 -0.10679 shape
abl1 43 1.70596 1.90744 -0.20148 shape
abl1 44 1.7062 1.767 -0.0608 shape
abl1 45 1.70604 2.58425 -0.87821 shape
abl1 46 1.70603 2.00033 -0.2943 shape
abl1 47 1.7059 1.98463 -0.27873 shape
abl1 48 1.70631 2.03735 -0.33104 shape
abl1 49 1.70583 2.12108 -0.41525 shape
abl1 50 1.70582 1.84362 -0.1378 shape
abl1 51 9.04189 8.82001 0.22188 shape
abl1 52 9.0419 8.7705 0.2714 shape
abl1 53 9.04179 8.66793 0.37386 shape
abl1 54 9.04396 8.94655 0.09741 shape
abl1 55 9.044 8.77224 0.27176 shape
abl1 56 9.04483 9.14915 -0.10432 shape
abl1 57 2.08954 2.11143 -0.02189 shape
abl1 58 2.08965 2.16154 -0.07189 shape
abl1 59 2.08941 2.72474 -0.63533 shape
abl1 60 2.09152 2.21035 -0.11883 shape
abl1 61 2.08971 2.12436 -0.03465 shape
abl1 62 2.09144 2.17701 -0.08557 shape
abl1 63 2.09152 2.29826 -0.20674 shape
abl1 64 9.20125 8.77355 0.4277 shape
abl1 65 2.09116 1.98452 0.10664 shape
abl1 66 2.09169 2.50246 -0.41077 shape
abl1 67 2.09202 1.98513 0.10689 shape
abl1 68 2.09161 2.22291 -0.1313 shape
abl1 69 9.05986 8.70541 0.35445 shape
abl1 70 2.08944 2.18329 -0.09385 shape
abl1 71 2.0894 2.07165 0.01775 shape
abl1 72 2.39607 2.5211 -0.12503 shape
abl1 73 2.39571 2.33316 0.06255 shape
abl1 74 2.396 2.54465 -0.14865 shape
abl1 75 2.39583 2.50999 -0.11416 shape
abl1 76 2.39601 2.56751 -0.1715 shape
abl1 77 2.39584 2.37058 0.02526 shape
abl1 78 2.39597 2.70579 -0.30982 shape
abl1 79 9.05989 8.87511 0.18478 shape
abl1 80 9.05983 9.02763 0.0322 shape
abl1 81 8.90256 8.75192 0.15064 shape
abl1 82 8.90248 8.52707 0.37541 shape
abl1 83 8.90246 8.69249 0.20997 shape
abl1 84 8.92637 8.7254 0.20097 shape
abl1 85 8.92641 8.595 0.33141 shape
abl1 86 9.3356 9.35156 -0.01596 shape
abl1 87 9.33538 9.11108 0.2243 shape
abl1 88 9.3368 9.1041 0.2327 shape
abl1 89 9.33619 9.22449 0.1117 shape
abl1 90 9.1979 9.86539 -0.66749 shape
abl1 91 9.19805 9.05028 0.14777 shape
abl1 92 9.19815 8.99297 0.20518 shape
abl1 93 9.34223 9.03242 0.30981 shape
abl1 94 8.90172 8.53844 0.36328 shape
abl1 95 8.90158 8.59441 0.30717 shape
abl1 96 8.90166 8.56928 0.33238 shape
abl1 97 8.9015 8.49726 0.40424 shape
abl1 98 9.34103 9.41131 -0.07028 shape
abl1 99 9.44708 9.24627 0.20081 shape
abl1 100 9.4468 9.16051 0.28629 shape
abl1 101 9.21852 9.36403 -0.14551 shape
abl1 102 9.21825 9.12891 0.08934 shape
abl1 103 9.35112 9.25254 0.09858 shape
abl1 104 9.35125 8.88658 0.46467 shape
abl1 105 9.35111 9.10743 0.24368 shape
abl1 106 9.35107 8.89047 0.4606 shape
abl1 107 9.36046 9.12374 0.23672 shape
abl1 108 9.36044 9.14012 0.22032 shape
abl1 109 9.36043 9.17752 0.18291 shape
abl1 110 9.36041 9.10218 0.25823 shape
abl1 111 2.58996 2.91218 -0.32222 shape
abl1 112 9.36028 9.45524 -0.09496 shape
abl1 113 2.58831 2.74308 -0.15477 shape
abl1 114 2.72443 2.77285 -0.04842 shape
abl1 115 2.72325 2.77341 -0.05016 shape
abl1 116 2.89565 2.64283 0.25282 shape
abl1 117 2.60241 2.86829 -0.26588 shape
abl1 118 2.60253 2.74998 -0.14745 shape
abl1 119 2.60251 2.75196 -0.14945 shape
abl1 120 2.57509 2.70669 -0.1316 shape
abl1 121 2.57533 2.62354 -0.04821 shape
abl1 122 9.4033 9.22979 0.17351 shape
abl1 123 9.23289 8.94039 0.2925 shape
abl1 124 9.40333 9.18046 0.22287 shape
abl1 125 9.40327 9.25394 0.14933 shape
abl1 126 9.40328 9.83859 -0.43531 shape
abl1 127 9.12826 8.84027 0.28799 shape
abl1 128 9.319 9.08178 0.23722 shape
abl1 129 9.31903 9.32781 -0.00878 shape
abl1 130 9.31895 9.07465 0.2443 shape
abl1 131 9.31893 9.04185 0.27708 shape
abl1 132 9.40277 9.48373 -0.08096 shape
abl1 133 9.40281 9.12315 0.27966 shape
abl1 134 2.38412 2.11541 0.26871 shape
abl1 135 9.31822 9.37828 -0.06006 shape
abl1 136 9.35138 9.22 0.13138 shape
abl1 137 9.35126 9.1501 0.20116 shape
abl1 138 9.3518 9.10166 0.25014 shape
abl1 139 9.35156 9.47722 -0.12566 shape
abl1 140 9.35163 9.3708 -0.01917 shape
abl1 141 9.35172 9.52533 -0.17361 shape
abl1 142 9.34703 9.23116 0.11587 shape
abl1 143 9.35273 9.02508 0.32765 shape
abl1 144 9.35277 9.25882 0.09395 shape
abl1 145 9.35278 9.09302 0.25976 shape
abl1 146 9.12051 8.90044 0.22007 shape
abl1 147 9.12058 8.95373 0.16685 shape
abl1 148 9.27452 9.01021 0.26431 shape
abl1 149 9.43129 9.02655 0.40474 shape
abl1 150 9.43081 9.10511 0.3257 shape
abl1 151 9.41112 9.16027 0.25085 shape
abl1 152 2.39861 1.79133 0.60728 shape
abl1 153 9.65788 9.28042 0.37746 shape
abl1 154 3.74779 2.14124 1.60655 shape
abl1 155 3.74782 2.24416 1.50366 shape
abl1 156 9.28207 9.37895 -0.09688 shape
abl1 157 8.95532 9.14554 -0.19022 shape
abl1 158 9.17174 9.28852 -0.11678 shape
abl1 159 9.08513 9.18807 -0.10294 shape
abl1 160 3.10173 1.795 1.30673 shape
abl1 161 9.80847 8.86006 0.94841 shape
abl1 162 8.9417 9.12857 -0.18687 shape
abl1 163 8.9357 8.86074 0.07496 shape
abl1 164 9.55152 8.73226 0.81926 shape
abl1 165 3.47391 1.68168 1.79223 shape
abl1 166 3.194 2.04532 1.14868 shape
abl1 167 4.78843 2.60369 2.18474 shape
abl1 168 5.50377 0.512591 4.99118 shape
abl1 169 4.86881 2.74991 2.1189 shape
abl1 170 4.6267 0.726578 3.90012 shape
abl1 171 4.62641 0.937637 3.68877 shape
abl1 172 9.33359 9.48999 -0.1564 shape
abl1 173 9.04128 9.07272 -0.03144 shape
abl1 174 4.46571 2.32282 2.14289 shape
abl1 175 4.37392 1.83227 2.54165 shape
abl1 176 9.98163 9.07284 0.90879 shape
abl1 177 4.37473 2.68362 1.69111 shape
abl1 178 4.46738 2.95114 1.51624 shape
abl1 179 3.8275 2.11034 1.71716 shape
abl1 180 8.48319 8.62612 -0.14293 shape
abl1 181 9.66659 9.29771 0.36888 shape
abl1 182 4.74957 1.44128 3.30829 shape
abl1 183 3.41242 1.77913 1.63329 shape
abl1 184 8.9986 9.30865 -0.31005 shape
abl1 185 5.22892 3.58993 1.63899 shape
abl1 186 6.10563 2.34676 3.75887 shape
abl1 187 8.64698 9.07417 -0.42719 shape
abl1 188 3.80024 2.96847 0.83177 shape
abl1 189 10.5603 9.12198 1.43832 shape
abl1 190 9.15019 8.70778 0.44241 shape
abl1 191 8.81341 8.95274 -0.13933 shape
abl1 192 8.73348 9.20094 -0.46746 shape
abl1 193 3.83111 2.77704 1.05407 shape
abl1 194 5.83788 2.59484 3.24304 shape
abl1 195 4.36353 1.51689 2.84664 shape
abl1 196 5.57939 5.4345 0.14489 shape
abl1 197 4.95975 2.74408 2.21567 shape
abl1 198 8.90018 9.1201 -0.21992 shape
abl1 199 8.90022 9.29226 -0.39204 shape
abl1 200 4.16893 1.62544 2.54349 shape
ace 1 10.6549 11.0486 -0.3937 shape
ace 2 3.29927 3.0219 0.27737 shape
ace 3 4.13065 3.20338 0.92727 shape
ace 4 4.13053 3.93247 0.19806 shape
ace 5 2.28932 2.0068 0.28252 shape
ace 6 2.28937 2.15738 0.13199 shape
ace 7 3.97839 4.12373 -0.14534 shape
ace 8 10.2675 9.67226 0.59524 shape
ace 9 2.26136 2.07835 0.18301 shape
ace 10 4.03423 4.00286 0.03137 shape
ace 11 4.03419 4.16234 -0.12815 shape
ace 12 1.99537 1.57556 0.41981 shape
ace 13 1.99522 1.40016 0.59506 shape
ace 14 10.2439 9.99733 0.24657 shape
ace 15 5.00193 4.01829 0.98364 shape
ace 16 4.28896 4.08732 0.20164 shape
ace 17 3.87932 4.00283 -0.12351 shape
ace 18 4.23776 4.01999 0.21777 shape
ace 19 3.52906 2.83041 0.69865 shape
ace 20 2.09623 2.1279 -0.03167 shape
ace 21 10.3823 9.94814 0.43416 shape
ace 22 11.0166 11.0189 -0.0023 shape
ace 23 2.36509 1.51506 0.85003 shape
ace 24 11.4518 11.0793 0.3725 shape
ace 25 10.7028 10.2897 0.4131 shape
ace 26 4.36123 4.20264 0.15859 shape
ace 27 4.36117 4.3061 0.05507 shape
ace 28 4.28078 3.78511 0.49567 shape
ace 29 4.37595 4.1563 0.21965 shape
ace 30 4.37599 4.27867 0.09732 shape
ace 31 4.85111 4.43225 0.41886 shape
ace 32 4.63648 4.00172 0.63476 shape
ace 33 4.63659 3.71993 0.91666 shape
ace 34 11.3496 11.1818 0.1678 shape
ace 35 11.3496 11.1846 0.165 shape
ace 36 2.80331 2.14653 0.65678 shape
ace 37 2.80326 2.17278 0.63048 shape
ace 38 10.643 10.6371 0.0059 shape
ace 39 10.9636 10.7972 0.1664 shape
ace 40 4.41487 3.88515 0.52972 shape
ace 41 11.0379 10.7324 0.3055 shape
ace 42 11.3825 11.2759 0.1066 shape
ace 43 11.3825 11.1443 0.2382 shape
ace 44 11.2078 10.9146 0.2932 shape
ace 45 10.2809 10.0452 0.2357 shape
ace 46 2.72484 2.02803 0.69681 shape
ace 47 11.4086 11.1072 0.3014 shape
ace 48 4.67785 4.9942 -0.31635 shape
ace 49 4.08226 3.95648 0.12578 shape
ace 50 4.08226 4.09744 -0.01518 shape
ace 51 10.5734 10.677 -0.1036 shape
ace 52 2.86262 2.02491 0.83771 shape
ace 53 10.7529 10.1973 0.5556 shape
ace 54 10.2377 9.8927 0.345 shape
ace 55 10.0125 9.71057 0.30193 shape
ace 56 11.2699 10.9211 0.3488 shape
ace 57 11.7328 11.1599 0.5729 shape
ace 58 10.5238 10.506 0.0178 shape
ace 59 11.2737 10.6703 0.6034 shape
ace 60 11.2737 10.734 0.5397 shape
ace 61 10.5874 10.0381 0.5493 shape
ace 62 4.0696 4.05273 0.01687 shape
ace 63 11.3497 10.7435 0.6062 shape
ace 64 9.9539 10.099 -0.1451 shape
ace 65 9.37119 9.07502 0.29617 shape
ace 66 10.3262 10.3483 -0.0221 shape
ace 67 10.3262 10.2601 0.0661 shape
ace 68 3.66312 3.62756 0.03556 shape
ace 69 3.66317 3.76449 -0.10132 shape
ace 70 10.3882 10.4924 -0.1042 shape
ace 71 4.35461 4.16384 0.19077 shape
ace 72 10.516 9.98253 0.53347 shape
ace 73 4.70864 4.78674 -0.0781 shape
ace 74 4.70882 4.23265 0.47617 shape
ace 75 2.95713 2.75542 0.20171 shape
ace 76 2.95709 2.74118 0.21591 shape
ace 77 10.1875 10.2277 -0.0402 shape
ace 78 9.28289 9.85739 -0.5745 shape
ace 79 2.19762 1.74881 0.44881 shape
ace 80 2.19848 1.98272 0.21576 shape
ace 81 4.84673 4.7838 0.06293 shape
ace 82 11.2116 10.6527 0.5589 shape
ace 83 9.32963 9.30303 0.0266 shape
ace 84 10.5758 10.3716 0.2042 shape
ace 85 3.22023 2.96323 0.257 shape
ace 86 10.9131 10.3279 0.5852 shape
ace 87 9.47393 9.87138 -0.39745 shape
ace 88 2.32367 1.99374 0.32993 shape
ace 89 2.32361 2.18356 0.14005 shape
ace 90 10.8157 11.0103 -0.1946 shape
ace 91 4.77107 4.71698 0.05409 shape
ace 92 5.36614 4.28969 1.07645 shape
ace 93 10.973 10.3326 0.6404 shape
ace 94 11.0408 10.9689 0.0719 shape
ace 95 3.72771 3.67604 0.05167 shape
ace 96 4.77651 3.84782 0.92869 shape
ace 97 4.77702 5.0042 -0.22718 shape
ace 98 3.09548 2.71921 0.37627 shape
ace 99 3.09544 2.84512 0.25032 shape
ace 100 11.0676 10.714 0.3536 shape
