target,stage,protocol,quality,cutoff
aa2ar,it0,shape,Acceptable,1
aa2ar,it0,pharm,Acceptable,1
aa2ar,it1,shape,Acceptable,1
aa2ar,it1,pharm,Acceptable,1
aa2ar,it0,shape,Acceptable,5
aa2ar,it0,pharm,Acceptable,5
aa2ar,it1,shape,Acceptable,5
aa2ar,it1,pharm,Acceptable,5
aa2ar,it0,shape,Acceptable,10
aa2ar,it0,pharm,Acceptable,10
aa2ar,it1,shape,Acceptable,10
aa2ar,it1,pharm,Acceptable,10
aa2ar,it0,shape,Medium,50
aa2ar,it0,pharm,Acceptable,50
aa2ar,it1,shape,Medium,50
aa2ar,it1,pharm,Acceptable,50
aa2ar,it0,shape,Medium,100
aa2ar,it0,pharm,Acceptable,100
aa2ar,it1,shape,Medium,100
aa2ar,it1,pharm,Medium,100
aa2ar,it0,shape,Medium,200
aa2ar,it0,pharm,Acceptable,200
aa2ar,it1,shape,Medium,200
aa2ar,it1,pharm,Medium,200
aa2ar,it0,shape,Medium,1000
aa2ar,it0,pharm,Acceptable,1000
aa2ar,it1,shape,Medium,1000
aa2ar,it1,pharm,Medium,1000
abl1,it0,shape,Medium,1
abl1,it0,pharm,Medium,1
abl1,it1,shape,Medium,1
abl1,it1,pharm,Medium,1
abl1,it0,shape,Medium,5
abl1,it0,pharm,Medium,5
abl1,it1,shape,Medium,5
abl1,it1,pharm,Medium,5
abl1,it0,shape,Medium,10
abl1,it0,pharm,Medium,10
abl1,it1,shape,Medium,10
abl1,it1,pharm,Medium,10
abl1,it0,shape,Medium,50
abl1,it0,pharm,Medium,50
abl1,it1,shape,Medium,50
abl1,it1,pharm,Medium,50
abl1,it0,shape,Medium,100
abl1,it0,pharm,Medium,100
abl1,it1,shape,Medium,100
abl1,it1,pharm,Medium,100
abl1,it0,shape,Medium,200
abl1,it0,pharm,Medium,200
abl1,it1,shape,Medium,200
abl1,it1,pharm,Medium,200
abl1,it0,shape,Medium,1000
abl1,it0,pharm,Medium,1000
abl1,it1,shape,Medium,1000
abl1,it1,pharm,Medium,1000
ace,it0,shape,Low,1
ace,it0,pharm,Acceptable,1
ace,it1,shape,Acceptable,1
ace,it1,pharm,Medium,1
ace,it0,shape,Near Acceptable,5
ace,it0,pharm,Acceptable,5
ace,it1,shape,Acceptable,5
ace,it1,pharm,Medium,5
ace,it0,shape,Near Acceptable,10
ace,it0,pharm,Acceptable,10
ace,it1,shape,Acceptable,10
ace,it1,pharm,Medium,10
ace,it0,shape,Acceptable,50
ace,it0,pharm,Acceptable,50
ace,it1,shape,Acceptable,50
ace,it1,pharm,Medium,50
ace,it0,shape,Acceptable,100
ace,it0,pharm,Acceptable,100
ace,it1,shape,Acceptable,100
ace,it1,pharm,Medium,100
ace,it0,shape,Acceptable,200
ace,it0,pharm,Acceptable,200
ace,it1,shape,Acceptable,200
ace,it1,pharm,Medium,200
ace,it0,shape,Acceptable,1000
ace,it0,pharm,Acceptable,1000
ace,it1,shape,Acceptable,1000
ace,it1,pharm,Medium,1000
aces,it0,shape,Low,1
aces,it0,pharm,Low,1
aces,it1,shape,High,1
