target,stage,protocol,quality,cutoff
aces,it1,pharm,Low,1
aces,it0,shape,Low,5
aces,it0,pharm,Low,5
aces,it1,shape,High,5
aces,it1,pharm,Low,5
aces,it0,shape,Low,10
aces,it0,pharm,Low,10
aces,it1,shape,High,10
aces,it1,pharm,Near Acceptable,10
aces,it0,shape,Medium,50
aces,it0,pharm,Low,50
aces,it1,shape,High,50
aces,it1,pharm,Near Acceptable,50
aces,it0,shape,Medium,100
aces,it0,pharm,Low,100
aces,it1,shape,High,100
aces,it1,pharm,Near Acceptable,100
aces,it0,shape,Medium,200
aces,it0,pharm,Low,200
aces,it1,shape,High,200
aces,it1,pharm,Near Acceptable,200
aces,it0,shape,Medium,1000
aces,it0,pharm,Low,1000
aces,it1,shape,High,1000
aces,it1,pharm,Near Acceptable,1000
ada,it0,shape,Low,1
ada,it0,pharm,Acceptable,1
ada,it1,shape,High,1
ada,it1,pharm,Near Acceptable,1
ada,it0,shape,Low,5
ada,it0,pharm,Acceptable,5
ada,it1,shape,High,5
ada,it1,pharm,Medium,5
ada,it0,shape,Low,10
ada,it0,pharm,Acceptable,10
ada,it1,shape,High,10
ada,it1,pharm,Medium,10
ada,it0,shape,Low,50
ada,it0,pharm,Acceptable,50
ada,it1,shape,High,50
ada,it1,pharm,Medium,50
ada,it0,shape,Acceptable,100
ada,it0,pharm,Acceptable,100
ada,it1,shape,High,100
ada,it1,pharm,Medium,100
ada,it0,shape,Medium,200
ada,it0,pharm,Acceptable,200
ada,it1,shape,High,200
ada,it1,pharm,Medium,200
ada,it0,shape,Medium,1000
ada,it0,pharm,Acceptable,1000
ada,it1,shape,High,1000
ada,it1,pharm,Medium,1000
ada17,it0,shape,Low,1
ada17,it0,pharm,Acceptable,1
ada17,it1,shape,Acceptable,1
ada17,it1,pharm,Acceptable,1
ada17,it0,shape,Acceptable,5
ada17,it0,pharm,Acceptable,5
ada17,it1,shape,Acceptable,5
ada17,it1,pharm,Acceptable,5
ada17,it0,shape,Acceptable,10
ada17,it0,pharm,Acceptable,10
ada17,it1,shape,Acceptable,10
ada17,it1,pharm,Acceptable,10
ada17,it0,shape,Acceptable,50
ada17,it0,pharm,Acceptable,50
ada17,it1,shape,Acceptable,50
ada17,it1,pharm,Acceptable,50
ada17,it0,shape,Acceptable,100
ada17,it0,pharm,Acceptable,100
ada17,it1,shape,Acceptable,100
ada17,it1,pharm,Acceptable,100
ada17,it0,shape,Acceptable,200
ada17,it0,pharm,Acceptable,200
ada17,it1,shape,Acceptable,200
ada17,it1,pharm,Acceptable,200
ada17,it0,shape,Acceptable,1000
ada17,it0,pharm,Acceptable,1000
ada17,it1,shape,Acceptable,1000
ada17,it1,pharm,Acceptable,1000
adrb1,it0,shape,Low,1
adrb1,it0,pharm,Acceptable,1
adrb1,it1,shape,Medium,1
adrb1,it1,pharm,Acceptable,1
adrb1,it0,shape,Low,5
adrb1,it0,pharm,Acceptable,5
adrb1,it1,shape,Medium,5
adrb1,it1,pharm,Medium,5
adrb1,it0,shape,Low,10
adrb1,it0,pharm,Acceptable,10
adrb1,it1,shape,Medium,10
adrb1,it1,pharm,High,10
adrb1,it0,shape,Acceptable,50
adrb1,it0,pharm,Acceptable,50
adrb1,it1,shape,Medium,50
adrb1,it1,pharm,High,50
adrb1,it0,shape,Medium,100
adrb1,it0,pharm,Acceptable,100
adrb1,it1,shape,Medium,100
adrb1,it1,pharm,High,100
adrb1,it0,shape,High,200
adrb1,it0,pharm,Medium,200
adrb1,it1,shape,Medium,200
adrb1,it1,pharm,High,200
adrb1,it0,shape,High,1000
adrb1,it0,pharm,Medium,1000
adrb1,it1,shape,Medium,1000
adrb1,it1,pharm,High,1000
adrb2,it0,shape,Low,1
adrb2,it0,pharm,Acceptable,1
adrb2,it1,shape,Low,1
adrb2,it1,pharm,Acceptable,1
adrb2,it0,shape,Low,5
adrb2,it0,pharm,Acceptable,5
adrb2,it1,shape,Medium,5
adrb2,it1,pharm,Acceptable,5
adrb2,it0,shape,Acceptable,10
adrb2,it0,pharm,Acceptable,10
adrb2,it1,shape,Medium,10
adrb2,it1,pharm,Acceptable,10
adrb2,it0,shape,Acceptable,50
adrb2,it0,pharm,Acceptable,50
adrb2,it1,shape,Medium,50
adrb2,it1,pharm,Medium,50
adrb2,it0,shape,Acceptable,100
adrb2,it0,pharm,Acceptable,100
adrb2,it1,shape,Medium,100
adrb2,it1,pharm,Medium,100
adrb2,it0,shape,Acceptable,200
adrb2,it0,pharm,Acceptable,200
adrb2,it1,shape,Medium,200
adrb2,it1,pharm,Medium,200
adrb2,it0,shape,Medium,1000
adrb2,it0,pharm,Acceptable,1000
adrb2,it1,shape,Medium,1000
adrb2,it1,pharm,Medium,1000
akt1,it0,shape,Low,1
akt1,it0,pharm,Near Acceptable,1
akt1,it1,shape,Acceptable,1
akt1,it1,pharm,Medium,1
akt1,it0,shape,Low,5
akt1,it0,pharm,Near Acceptable,5
akt1,it1,shape,Acceptable,5
akt1,it1,pharm,Medium,5
akt1,it0,shape,Near Acceptable,10
akt1,it0,pharm,Near Acceptable,10
akt1,it1,shape,Acceptable,10
akt1,it1,pharm,Medium,10
akt1,it0,shape,Acceptable,50
akt1,it0,pharm,Acceptable,50
akt1,it1,shape,Medium,50
akt1,it1,pharm,Medium,50
akt1,it0,shape,Acceptable,100
akt1,it0,pharm,Acceptable,100
akt1,it1,shape,Medium,100
akt1,it1,pharm,Medium,100
akt1,it0,shape,Acceptable,200
akt1,it0,pharm,Acceptable,200
akt1,it1,shape,Medium,200
akt1,it1,pharm,Medium,200
akt1,it0,shape,Medium,1000
akt1,it0,pharm,Acceptable,1000
akt1,it1,shape,Medium,1000
akt1,it1,pharm,Medium,1000
akt2,it0,shape,Low,1
akt2,it0,pharm,Low,1
akt2,it1,shape,Low,1
akt2,it1,pharm,Low,1
akt2,it0,shape,Low,5
akt2,it0,pharm,Low,5
akt2,it1,shape,Near Acceptable,5
akt2,it1,pharm,Low,5
akt2,it0,shape,Low,10
akt2,it0,pharm,Low,10
akt2,it1,shape,Near Acceptable,10
akt2,it1,pharm,Low,10
akt2,it0,shape,Low,50
akt2,it0,pharm,Low,50
akt2,it1,shape,Near Acceptable,50
akt2,it1,pharm,Near Acceptable,50
akt2,it0,shape,Near Acceptable,100
akt2,it0,pharm,Near Acceptable,100
akt2,it1,shape,Near Acceptable,100
akt2,it1,pharm,Near Acceptable,100
akt2,it0,shape,Near Acceptable,200
akt2,it0,pharm,Near Acceptable,200
akt2,it1,shape,Near Acceptable,200
akt2,it1,pharm,Near Acceptable,200
akt2,it0,shape,Near Acceptable,1000
akt2,it0,pharm,Near Acceptable,1000
akt2,it1,shape,Near Acceptable,1000
akt2,it1,pharm,Near Acceptable,1000
aldr,it0,shape,Low,1
aldr,it0,pharm,Acceptable,1
aldr,it1,shape,Medium,1
aldr,it1,pharm,Acceptable,1
aldr,it0,shape,Low,5
aldr,it0,pharm,Acceptable,5
aldr,it1,shape,Medium,5
aldr,it1,pharm,Medium,5
aldr,it0,shape,Low,10
aldr,it0,pharm,Acceptable,10
aldr,it1,shape,Medium,10
aldr,it1,pharm,Medium,10
aldr,it0,shape,Near Acceptable,50
aldr,it0,pharm,Acceptable,50
aldr,it1,shape,Medium,50
aldr,it1,pharm,Medium,50
aldr,it0,shape,Near Acceptable,100
aldr,it0,pharm,Acceptable,100
aldr,it1,shape,Medium,100
aldr,it1,pharm,Medium,100
aldr,it0,shape,Acceptable,200
aldr,it0,pharm,Acceptable,200
aldr,it1,shape,Medium,200
aldr,it1,pharm,Medium,200
aldr,it0,shape,Acceptable,1000
aldr,it0,pharm,Acceptable,1000
aldr,it1,shape,Medium,1000
aldr,it1,pharm,Medium,1000
ampc,it0,shape,Low,1
ampc,it0,pharm,Low,1
ampc,it1,shape,Acceptable,1
ampc,it1,pharm,Acceptable,1
ampc,it0,shape,Near Acceptable,5
ampc,it0,pharm,Low,5
ampc,it1,shape,Acceptable,5
ampc,it1,pharm,Acceptable,5
ampc,it0,shape,Near Acceptable,10
ampc,it0,pharm,Low,10
ampc,it1,shape,Acceptable,10
ampc,it1,pharm,Acceptable,10
ampc,it0,shape,Medium,50
ampc,it0,pharm,Acceptable,50
ampc,it1,shape,Acceptable,50
ampc,it1,pharm,Medium,50
ampc,it0,shape,Medium,100
ampc,it0,pharm,Acceptable,100
ampc,it1,shape,Medium,100
ampc,it1,pharm,Medium,100
ampc,it0,shape,Medium,200
ampc,it0,pharm,Acceptable,200
ampc,it1,shape,Medium,200
ampc,it1,pharm,Medium,200
ampc,it0,shape,Medium,1000
ampc,it0,pharm,Medium,1000
ampc,it1,shape,Medium,1000
ampc,it1,pharm,Medium,1000
andr,it0,shape,Low,1
andr,it0,pharm,Acceptable,1
andr,it1,shape,High,1
andr,it1,pharm,Acceptable,1
andr,it0,shape,Low,5
andr,it0,pharm,Acceptable,5
andr,it1,shape,High,5
andr,it1,pharm,Acceptable,5
andr,it0,shape,Acceptable,10
andr,it0,pharm,Acceptable,10
andr,it1,shape,High,10
andr,it1,pharm,Medium,10
andr,it0,shape,Medium,50
andr,it0,pharm,Acceptable,50
andr,it1,shape,High,50
andr,it1,pharm,Medium,50
andr,it0,shape,Medium,100
andr,it0,pharm,Acceptable,100
andr,it1,shape,High,100
andr,it1,pharm,Medium,100
andr,it0,shape,Medium,200
andr,it0,pharm,Acceptable,200
andr,it1,shape,High,200
andr,it1,pharm,Medium,200
andr,it0,shape,Medium,1000
andr,it0,pharm,Acceptable,1000
andr,it1,shape,High,1000
andr,it1,pharm,Medium,1000
aofb,it0,shape,Low,1
aofb,it0,pharm,Acceptable,1
aofb,it1,shape,Acceptable,1
aofb,it1,pharm,Acceptable,1
aofb,it0,shape,Low,5
aofb,it0,pharm,Acceptable,5
aofb,it1,shape,Acceptable,5
aofb,it1,pharm,Acceptable,5
aofb,it0,shape,Low,10
aofb,it0,pharm,Acceptable,10
aofb,it1,shape,Acceptable,10
aofb,it1,pharm,Acceptable,10
aofb,it0,shape,Medium,50
aofb,it0,pharm,Acceptable,50
aofb,it1,shape,Medium,50
aofb,it1,pharm,Medium,50
aofb,it0,shape,Medium,100
aofb,it0,pharm,Acceptable,100
aofb,it1,shape,Medium,100
aofb,it1,pharm,Medium,100
aofb,it0,shape,Medium,200
aofb,it0,pharm,Acceptable,200
aofb,it1,shape,Medium,200
aofb,it1,pharm,Medium,200
aofb,it0,shape,Medium,1000
aofb,it0,pharm,Acceptable,1000
aofb,it1,shape,Medium,1000
aofb,it1,pharm,Medium,1000
bace1,it0,shape,Low,1
bace1,it0,pharm,Low,1
bace1,it1,shape,Low,1
bace1,it1,pharm,Low,1
bace1,it0,shape,Low,5
bace1,it0,pharm,Low,5
bace1,it1,shape,Low,5
bace1,it1,pharm,Low,5
bace1,it0,shape,Low,10
bace1,it0,pharm,Low,10
bace1,it1,shape,Low,10
bace1,it1,pharm,Low,10
bace1,it0,shape,Low,50
bace1,it0,pharm,Low,50
bace1,it1,shape,Low,50
bace1,it1,pharm,Low,50
bace1,it0,shape,Low,100
bace1,it0,pharm,Low,100
bace1,it1,shape,Low,100
bace1,it1,pharm,Low,100
bace1,it0,shape,Low,200
bace1,it0,pharm,Low,200
bace1,it1,shape,Low,200
bace1,it1,pharm,Low,200
bace1,it0,shape,Low,1000
bace1,it0,pharm,Low,1000
bace1,it1,shape,Low,1000
bace1,it1,pharm,Low,1000
braf,it0,shape,Low,1
braf,it0,pharm,Near Acceptable,1
braf,it1,shape,Acceptable,1
braf,it1,pharm,Low,1
braf,it0,shape,Low,5
braf,it0,pharm,Near Acceptable,5
braf,it1,shape,Acceptable,5
braf,it1,pharm,Near Acceptable,5
braf,it0,shape,Low,10
braf,it0,pharm,Near Acceptable,10
braf,it1,shape,Acceptable,10
braf,it1,pharm,Acceptable,10
braf,it0,shape,Acceptable,50
braf,it0,pharm,Near Acceptable,50
braf,it1,shape,Acceptable,50
braf,it1,pharm,Acceptable,50
braf,it0,shape,Acceptable,100
braf,it0,pharm,Near Acceptable,100
braf,it1,shape,Acceptable,100
braf,it1,pharm,Acceptable,100
braf,it0,shape,Acceptable,200
braf,it0,pharm,Near Acceptable,200
braf,it1,shape,Acceptable,200
braf,it1,pharm,Acceptable,200
braf,it0,shape,Acceptable,1000
braf,it0,pharm,Acceptable,1000
braf,it1,shape,Acceptable,1000
braf,it1,pharm,Acceptable,1000
cah2,it0,shape,Low,1
cah2,it0,pharm,Low,1
cah2,it1,shape,Acceptable,1
cah2,it1,pharm,Near Acceptable,1
cah2,it0,shape,Low,5
cah2,it0,pharm,Near Acceptable,5
cah2,it1,shape,Acceptable,5
cah2,it1,pharm,Medium,5
cah2,it0,shape,Low,10
cah2,it0,pharm,Near Acceptable,10
cah2,it1,shape,Acceptable,10
cah2,it1,pharm,Medium,10
cah2,it0,shape,Low,50
cah2,it0,pharm,Near Acceptable,50
cah2,it1,shape,Acceptable,50
cah2,it1,pharm,Medium,50
cah2,it0,shape,Acceptable,100
cah2,it0,pharm,Near Acceptable,100
cah2,it1,shape,Acceptable,100
cah2,it1,pharm,Medium,100
cah2,it0,shape,Acceptable,200
cah2,it0,pharm,Acceptable,200
cah2,it1,shape,Acceptable,200
cah2,it1,pharm,Medium,200
cah2,it0,shape,Acceptable,1000
cah2,it0,pharm,Medium,1000
cah2,it1,shape,Acceptable,1000
cah2,it1,pharm,Medium,1000
casp3,it0,shape,Low,1
casp3,it0,pharm,Near Acceptable,1
casp3,it1,shape,Low,1
casp3,it1,pharm,Low,1
casp3,it0,shape,Low,5
casp3,it0,pharm,Near Acceptable,5
casp3,it1,shape,Low,5
casp3,it1,pharm,Near Acceptable,5
casp3,it0,shape,Low,10
casp3,it0,pharm,Near Acceptable,10
casp3,it1,shape,Low,10
casp3,it1,pharm,Near Acceptable,10
casp3,it0,shape,Low,50
casp3,it0,pharm,Near Acceptable,50
casp3,it1,shape,Low,50
casp3,it1,pharm,Acceptable,50
casp3,it0,shape,Low,100
casp3,it0,pharm,Near Acceptable,100
casp3,it1,shape,Low,100
casp3,it1,pharm,Acceptable,100
casp3,it0,shape,Low,200
casp3,it0,pharm,Acceptable,200
casp3,it1,shape,Near Acceptable,200
casp3,it1,pharm,Acceptable,200
casp3,it0,shape,Low,1000
casp3,it0,pharm,Acceptable,1000
casp3,it1,shape,Near Acceptable,1000
casp3,it1,pharm,Acceptable,1000
cdk2,it0,shape,Low,1
cdk2,it0,pharm,Acceptable,1
cdk2,it1,shape,Acceptable,1
cdk2,it1,pharm,Acceptable,1
cdk2,it0,shape,Low,5
cdk2,it0,pharm,Acceptable,5
cdk2,it1,shape,Acceptable,5
cdk2,it1,pharm,Acceptable,5
cdk2,it0,shape,Low,10
cdk2,it0,pharm,Acceptable,10
cdk2,it1,shape,Acceptable,10
cdk2,it1,pharm,Acceptable,10
cdk2,it0,shape,Low,50
cdk2,it0,pharm,Acceptable,50
cdk2,it1,shape,Acceptable,50
cdk2,it1,pharm,Acceptable,50
cdk2,it0,shape,Low,100
cdk2,it0,pharm,Acceptable,100
cdk2,it1,shape,Acceptable,100
cdk2,it1,pharm,Acceptable,100
cdk2,it0,shape,Near Acceptable,200
cdk2,it0,pharm,Acceptable,200
cdk2,it1,shape,Acceptable,200
cdk2,it1,pharm,Acceptable,200
cdk2,it0,shape,Near Acceptable,1000
cdk2,it0,pharm,Acceptable,1000
cdk2,it1,shape,Acceptable,1000
cdk2,it1,pharm,Acceptable,1000
comt,it0,shape,Low,1
comt,it0,pharm,Low,1
comt,it1,shape,Low,1
comt,it1,pharm,Low,1
comt,it0,shape,Low,5
comt,it0,pharm,Low,5
comt,it1,shape,Low,5
comt,it1,pharm,Low,5
comt,it0,shape,Low,10
comt,it0,pharm,Low,10
comt,it1,shape,Low,10
comt,it1,pharm,Low,10
comt,it0,shape,Low,50
comt,it0,pharm,Low,50
comt,it1,shape,Acceptable,50
comt,it1,pharm,Low,50
comt,it0,shape,Acceptable,100
comt,it0,pharm,Low,100
comt,it1,shape,Acceptable,100
comt,it1,pharm,Low,100
comt,it0,shape,Acceptable,200
comt,it0,pharm,Low,200
comt,it1,shape,Acceptable,200
comt,it1,pharm,Low,200
comt,it0,shape,Acceptable,1000
comt,it0,pharm,Low,1000
comt,it1,shape,Acceptable,1000
comt,it1,pharm,Low,1000
cp2c9,it0,shape,Low,1
cp2c9,it0,pharm,Acceptable,1
cp2c9,it1,shape,Low,1
cp2c9,it1,pharm,Medium,1
cp2c9,it0,shape,Low,5
cp2c9,it0,pharm,Acceptable,5
cp2c9,it1,shape,Acceptable,5
cp2c9,it1,pharm,Medium,5
cp2c9,it0,shape,Low,10
cp2c9,it0,pharm,Acceptable,10
cp2c9,it1,shape,Medium,10
cp2c9,it1,pharm,Medium,10
cp2c9,it0,shape,Acceptable,50
cp2c9,it0,pharm,Acceptable,50
cp2c9,it1,shape,Medium,50
cp2c9,it1,pharm,Medium,50
cp2c9,it0,shape,Acceptable,100
cp2c9,it0,pharm,Acceptable,100
cp2c9,it1,shape,Medium,100
cp2c9,it1,pharm,Medium,100
cp2c9,it0,shape,Medium,200
cp2c9,it0,pharm,Acceptable,200
cp2c9,it1,shape,Medium,200
cp2c9,it1,pharm,Medium,200
cp2c9,it0,shape,Medium,1000
cp2c9,it0,pharm,Acceptable,1000
cp2c9,it1,shape,Medium,1000
cp2c9,it1,pharm,Medium,1000
cp3a4,it0,shape,Low,1
cp3a4,it0,pharm,Low,1
cp3a4,it1,shape,Near Acceptable,1
cp3a4,it1,pharm,Near Acceptable,1
cp3a4,it0,shape,Low,5
cp3a4,it0,pharm,Low,5
cp3a4,it1,shape,Near Acceptable,5
cp3a4,it1,pharm,Near Acceptable,5
cp3a4,it0,shape,Low,10
cp3a4,it0,pharm,Low,10
cp3a4,it1,shape,Near Acceptable,10
cp3a4,it1,pharm,Acceptable,10
cp3a4,it0,shape,Low,50
cp3a4,it0,pharm,Low,50
cp3a4,it1,shape,Near Acceptable,50
cp3a4,it1,pharm,Acceptable,50
cp3a4,it0,shape,Low,100
cp3a4,it0,pharm,Low,100
cp3a4,it1,shape,Near Acceptable,100
cp3a4,it1,pharm,Acceptable,100
cp3a4,it0,shape,Low,200
cp3a4,it0,pharm,Low,200
cp3a4,it1,shape,Near Acceptable,200
cp3a4,it1,pharm,Acceptable,200
cp3a4,it0,shape,Low,1000
cp3a4,it0,pharm,Low,1000
cp3a4,it1,shape,Near Acceptable,1000
cp3a4,it1,pharm,Acceptable,1000
csf1r,it0,shape,Near Acceptable,1
csf1r,it0,pharm,Low,1
csf1r,it1,shape,Near Acceptable,1
csf1r,it1,pharm,Low,1
csf1r,it0,shape,Near Acceptable,5
csf1r,it0,pharm,Low,5
csf1r,it1,shape,Acceptable,5
csf1r,it1,pharm,Near Acceptable,5
csf1r,it0,shape,Near Acceptable,10
csf1r,it0,pharm,Low,10
csf1r,it1,shape,Acceptable,10
csf1r,it1,pharm,Acceptable,10
csf1r,it0,shape,Acceptable,50
csf1r,it0,pharm,Low,50
csf1r,it1,shape,Acceptable,50
csf1r,it1,pharm,Acceptable,50
csf1r,it0,shape,Acceptable,100
csf1r,it0,pharm,Low,100
csf1r,it1,shape,Acceptable,100
csf1r,it1,pharm,Acceptable,100
csf1r,it0,shape,Acceptable,200
csf1r,it0,pharm,Near Acceptable,200
csf1r,it1,shape,Acceptable,200
csf1r,it1,pharm,Acceptable,200
csf1r,it0,shape,Acceptable,1000
csf1r,it0,pharm,Near Acceptable,1000
csf1r,it1,shape,Acceptable,1000
csf1r,it1,pharm,Acceptable,1000
def,it0,shape,Low,1
def,it0,pharm,Acceptable,1
def,it1,shape,Acceptable,1
def,it1,pharm,Acceptable,1
def,it0,shape,Acceptable,5
def,it0,pharm,Acceptable,5
def,it1,shape,Acceptable,5
def,it1,pharm,Medium,5
def,it0,shape,Acceptable,10
def,it0,pharm,Acceptable,10
def,it1,shape,Acceptable,10
def,it1,pharm,Medium,10
def,it0,shape,Acceptable,50
def,it0,pharm,Acceptable,50
def,it1,shape,Acceptable,50
def,it1,pharm,Medium,50
def,it0,shape,Acceptable,100
def,it0,pharm,Acceptable,100
def,it1,shape,Acceptable,100
def,it1,pharm,Medium,100
def,it0,shape,Acceptable,200
def,it0,pharm,Acceptable,200
def,it1,shape,Acceptable,200
def,it1,pharm,Medium,200
def,it0,shape,Acceptable,1000
def,it0,pharm,Acceptable,1000
def,it1,shape,Acceptable,1000
def,it1,pharm,Medium,1000
dhi1,it0,shape,Low,1
dhi1,it0,pharm,Near Acceptable,1
dhi1,it1,shape,Low,1
dhi1,it1,pharm,Acceptable,1
dhi1,it0,shape,Low,5
dhi1,it0,pharm,Near Acceptable,5
dhi1,it1,shape,Acceptable,5
dhi1,it1,pharm,Acceptable,5
dhi1,it0,shape,Low,10
dhi1,it0,pharm,Near Acceptable,10
dhi1,it1,shape,Acceptable,10
dhi1,it1,pharm,Acceptable,10
dhi1,it0,shape,Low,50
dhi1,it0,pharm,Acceptable,50
dhi1,it1,shape,Acceptable,50
dhi1,it1,pharm,Acceptable,50
dhi1,it0,shape,Low,100
dhi1,it0,pharm,Acceptable,100
dhi1,it1,shape,Acceptable,100
dhi1,it1,pharm,Acceptable,100
dhi1,it0,shape,Acceptable,200
dhi1,it0,pharm,Acceptable,200
dhi1,it1,shape,Acceptable,200
dhi1,it1,pharm,Acceptable,200
dhi1,it0,shape,Acceptable,1000
dhi1,it0,pharm,Acceptable,1000
dhi1,it1,shape,Acceptable,1000
dhi1,it1,pharm,Acceptable,1000
dpp4,it0,shape,Acceptable,1
dpp4,it0,pharm,Acceptable,1
dpp4,it1,shape,Low,1
dpp4,it1,pharm,Acceptable,1
dpp4,it0,shape,Acceptable,5
dpp4,it0,pharm,Acceptable,5
dpp4,it1,shape,Low,5
dpp4,it1,pharm,Acceptable,5
dpp4,it0,shape,Acceptable,10
dpp4,it0,pharm,Acceptable,10
dpp4,it1,shape,Near Acceptable,10
dpp4,it1,pharm,Medium,10
dpp4,it0,shape,Acceptable,50
dpp4,it0,pharm,Acceptable,50
dpp4,it1,shape,Acceptable,50
dpp4,it1,pharm,Medium,50
dpp4,it0,shape,Acceptable,100
dpp4,it0,pharm,Acceptable,100
dpp4,it1,shape,Acceptable,100
dpp4,it1,pharm,Medium,100
dpp4,it0,shape,Acceptable,200
dpp4,it0,pharm,Acceptable,200
dpp4,it1,shape,Acceptable,200
dpp4,it1,pharm,Medium,200
dpp4,it0,shape,Acceptable,1000
dpp4,it0,pharm,Acceptable,1000
dpp4,it1,shape,Acceptable,1000
dpp4,it1,pharm,Medium,1000
dyr,it0,shape,Low,1
dyr,it0,pharm,Medium,1
dyr,it1,shape,Acceptable,1
dyr,it1,pharm,Acceptable,1
dyr,it0,shape,Low,5
dyr,it0,pharm,Medium,5
dyr,it1,shape,Acceptable,5
dyr,it1,pharm,Medium,5
dyr,it0,shape,Low,10
dyr,it0,pharm,Medium,10
dyr,it1,shape,Acceptable,10
dyr,it1,pharm,Medium,10
dyr,it0,shape,Low,50
dyr,it0,pharm,Medium,50
dyr,it1,shape,Acceptable,50
dyr,it1,pharm,Medium,50
dyr,it0,shape,Near Acceptable,100
dyr,it0,pharm,Medium,100
dyr,it1,shape,Medium,100
dyr,it1,pharm,Medium,100
dyr,it0,shape,Acceptable,200
dyr,it0,pharm,Medium,200
dyr,it1,shape,Medium,200
dyr,it1,pharm,Medium,200
dyr,it0,shape,Acceptable,1000
dyr,it0,pharm,Medium,1000
dyr,it1,shape,Medium,1000
dyr,it1,pharm,Medium,1000
egfr,it0,shape,Low,1
egfr,it0,pharm,Acceptable,1
egfr,it1,shape,Acceptable,1
egfr,it1,pharm,Medium,1
egfr,it0,shape,Acceptable,5
egfr,it0,pharm,Acceptable,5
egfr,it1,shape,Acceptable,5
egfr,it1,pharm,Medium,5
egfr,it0,shape,Acceptable,10
egfr,it0,pharm,Acceptable,10
egfr,it1,shape,Acceptable,10
egfr,it1,pharm,Medium,10
egfr,it0,shape,Acceptable,50
egfr,it0,pharm,Acceptable,50
egfr,it1,shape,Acceptable,50
egfr,it1,pharm,Medium,50
egfr,it0,shape,Acceptable,100
egfr,it0,pharm,Acceptable,100
egfr,it1,shape,Acceptable,100
egfr,it1,pharm,Medium,100
egfr,it0,shape,Acceptable,200
egfr,it0,pharm,Acceptable,200
egfr,it1,shape,Acceptable,200
egfr,it1,pharm,Medium,200
egfr,it0,shape,Acceptable,1000
egfr,it0,pharm,Acceptable,1000
egfr,it1,shape,Acceptable,1000
egfr,it1,pharm,Medium,1000
esr1,it0,shape,Low,1
esr1,it0,pharm,Acceptable,1
esr1,it1,shape,Acceptable,1
esr1,it1,pharm,Medium,1
